name,group,pass,head pass,air duel,foul,dribbling,corner,cross,kick,defense,acceleration,id
Santiago Mina Lorenzo,Forward,11,14,22,24,23,0,5,18,16,12,250885
Eros Schiavon,Midfielder,3,3,2,10,4,0,2,0,7,2,21517
Hugo Duro Perales,Forward,0,0,1,1,0,0,0,0,0,1,545811
Federico Ceccherini,Defender,29,58,33,42,9,0,1,7,53,5,21528
Gabriel Mois\u00e9s Antunes da Silva,Defender,21,14,14,34,18,0,19,5,39,14,21550
Ivan Radovanovi\u0107,Midfielder,42,42,26,36,14,7,6,14,46,2,21564
Marco Silvestri,Goalkeeper,0,0,0,0,0,0,0,0,3,0,21573
Federico Ricci,Forward,9,8,7,22,23,12,18,12,21,11,250956
Fabrizio Cacciatore,Defender,39,37,19,13,14,2,47,9,44,9,21607
Ole Kristian Seln\u00e6s,Midfielder,31,23,11,41,4,8,2,6,48,3,54380
Jasmin Kurti\u010d,Midfielder,22,27,40,32,23,4,13,14,31,10,21620
Mahmoud Abdul Monem Abdelhamid Soliman,Midfielder,0,0,1,2,1,0,1,0,1,1,119932
Eugenio Lamanna,Goalkeeper,0,0,0,0,0,0,0,0,0,0,21636
Luca Ceppitelli,Defender,28,44,29,36,4,0,1,4,40,3,21639
Ahmed Hegazy,Defender,29,64,44,28,10,0,4,7,56,3,119951
Adrian Marius Stoian,Forward,24,17,9,29,28,4,25,9,31,34,21655
Lorenzo Del Pinto,Midfielder,10,6,6,26,5,0,0,3,21,1,21678
Filippo Romagna,Defender,21,21,12,10,5,0,5,1,30,10,283832
Bj\u00f6rn Bergmann Sigur\u00f0arson,Forward,0,0,2,1,0,0,0,0,0,0,54495
Rune  Almenning Jarstein,Goalkeeper,10,0,3,0,0,0,0,0,13,0,54579
Federico Chiesa,Midfielder,23,8,9,52,61,0,46,46,51,69,447804
Youssef En-Nesyri,Forward,5,26,48,35,24,0,8,18,22,13,447821
Andrea Seculin,Goalkeeper,0,0,0,0,0,0,0,0,0,0,21840
Cristiano Biraghi,Defender,30,29,17,42,9,46,50,14,67,12,21842
Diego Falcinelli,Forward,7,14,25,40,33,0,7,20,22,6,21861
Marco Sau,Forward,9,5,4,16,18,2,5,10,14,12,21865
Luca Antei,Defender,9,5,3,10,1,0,0,1,13,2,21872
Sergio Gont\u00e1n Gallardo,Midfielder,9,7,5,37,16,0,16,8,35,10,21894
Marco Festa,Goalkeeper,0,0,0,0,0,0,0,0,0,0,21900
Marwan Mohsen,Forward,1,2,8,4,3,0,0,2,2,0,120225
Camilo Andr\u00e9s Vargas Gil,Goalkeeper,0,0,0,0,0,0,0,0,0,0,91039
Niccol\u00f2 Giannetti,Forward,1,3,7,10,4,0,2,2,4,0,21959
Jos\u00e9 Manuel Garc\u00eda Naranjo,Forward,3,3,4,12,7,4,0,4,11,1,265807
Andrey Lunev,Goalkeeper,0,0,0,0,0,0,0,0,0,0,101971
Hee-Chan Hwang,Forward,1,0,2,4,3,0,1,1,3,2,349687
Andrey Galabinov,Forward,7,22,29,27,23,0,3,15,10,3,22020
Christian Fr\u00fcchtl,Goalkeeper,0,0,0,0,0,0,0,0,0,0,396887
Mohamed Naser Elsayed Elneny,Midfielder,26,8,4,7,4,1,3,5,13,4,120339
Markel Bergara Larra\u00f1aga,Midfielder,7,34,16,34,6,0,2,6,29,4,3674
Mohamed  Salah Ghaly,Forward,25,14,11,16,62,30,16,64,21,44,120353
Francesco Rossi,Goalkeeper,0,0,0,0,0,0,0,0,0,0,22053
Papiss Mison Djilobodji,Defender,39,39,29,24,7,0,2,7,39,4,25524
Antonio Donnarumma,Goalkeeper,0,0,0,0,0,0,0,0,0,0,22085
Antonio Aldo Caracciolo,Defender,24,35,19,21,3,0,2,7,39,1,22093
Isma\u00efla Sarr,Midfielder,11,5,11,23,48,0,20,18,25,44,448079
Marcel B\u00fcchel,Midfielder,20,24,20,48,12,4,4,4,35,0,22099
M\u00e1rio Rui Silva Duarte,Defender,49,22,14,42,12,25,27,3,48,18,22107
Nicholas Pierini,Forward,0,0,1,0,1,0,0,0,1,0,415348
Pietro Iemmello,Forward,5,7,6,3,8,0,0,9,5,12,22135
Isaac Cofie,Midfielder,7,8,7,14,3,0,0,2,15,0,22158
Francesco Magnanelli,Midfielder,39,36,15,41,15,10,6,4,55,2,22162
Simone Missiroli,Midfielder,27,40,49,38,18,0,8,10,48,23,22163
Marko Rog ,Midfielder,8,3,5,14,7,0,1,3,13,6,284315
Bruno Martella,Defender,24,28,20,7,14,0,41,10,38,29,22185
Simone Zaza,Forward,10,10,39,50,29,0,6,28,19,11,22202
Gianmarco Ferrari,Defender,43,39,18,20,4,0,0,3,19,1,22270
Ondrej Duda,Midfielder,9,7,10,25,10,0,2,5,15,3,218896
Ledian Memushaj,Midfielder,18,8,5,22,21,10,6,11,30,18,22323
Josip Brekalo,Midfielder,15,10,8,21,31,11,19,14,24,23,284469
Yassine Bounou,Goalkeeper,5,0,2,1,0,0,0,0,14,0,120631
Cengiz \u00dcnder,Forward,9,7,4,1,20,11,19,21,13,27,350032
Achraf Lazaar,Defender,3,1,3,11,6,1,6,3,10,5,218971
Andrea Tozzo,Goalkeeper,0,0,0,0,0,0,0,0,0,0,218982
Ibrahima M'baye,Defender,21,21,16,30,14,0,6,3,39,8,22377
Jannes-Kilian Horn,Defender,7,8,4,5,3,0,7,1,12,11,284524
Daniel Bessa,Midfielder,22,10,8,40,21,6,7,7,29,18,22381
Joseph Alfred Duncan,Midfielder,18,15,9,42,25,7,22,15,37,17,22383
Oussama Haddadi,Defender,28,37,13,50,13,1,32,2,62,34,120717
Ailton Ferreira Silva,Defender,1,2,1,2,2,0,1,0,4,0,284580
St\u00e9phane Ruffier,Goalkeeper,10,0,1,0,0,0,0,0,15,0,25845
Ferjani Sassi,Midfielder,4,1,1,7,1,0,0,2,4,1,120853
Vid Belec,Goalkeeper,3,0,2,1,0,0,0,0,9,0,22552
Francesco Migliore,Defender,3,3,2,8,3,0,4,0,6,7,22559
Pietro Pellegri,Forward,1,3,7,12,3,0,1,3,6,2,481329
Nicola Sansone,Forward,5,3,3,3,10,4,7,5,7,12,22578
Fabio Depaoli,Midfielder,7,10,11,25,6,0,10,2,35,5,415809
Fabio Lucioni,Defender,7,5,4,3,1,0,0,3,9,2,22614
Oleg Ivanov,Midfielder,0,0,0,0,0,0,0,0,0,0,102083
Gabriele Angella,Defender,11,22,10,20,1,0,1,2,19,0,22677
Benito Nicolas Viola,Midfielder,31,8,6,38,22,31,11,14,27,20,22695
Antonino Ragusa,Forward,5,3,7,25,12,2,9,10,18,12,22699
Fabio Pisacane,Defender,26,25,19,30,5,0,5,1,46,7,22732
Adama Niane,Forward,12,10,59,37,34,0,4,30,25,10,219350
Joachim Andersen,Defender,10,10,5,3,1,0,0,1,6,0,145787
V\u00edctor S\u00e1nchez Mata,Midfielder,28,32,19,74,11,4,21,6,82,6,3797
Luigi Sepe,Goalkeeper,0,0,0,0,0,0,0,0,0,0,22817
Anatoliy Tymoshchuk,Midfielder,0,0,0,0,0,0,0,0,0,0,14729
Dan-Axel Zagadou,Defender,10,12,12,14,3,0,4,3,13,0,397028
Armando Izzo,Defender,19,25,13,15,7,0,5,1,32,5,22883
Stanley Nsoki,Defender,0,0,0,0,0,0,0,0,0,0,397030
Leonardo Pavoletti,Forward,13,50,86,79,23,0,1,32,27,0,22933
Anthony Racioppi,Goalkeeper,0,0,0,0,0,0,0,0,0,0,397039
Franck Yannick Kessi\u00e9,Midfielder,45,25,28,66,43,1,30,29,50,39,285109
Ra\u00fal Rodr\u00edguez Navas,Defender,30,31,15,15,4,0,2,4,21,6,3828
Nathan Allan de Souza,Midfielder,0,0,0,0,0,0,0,0,0,0,285139
Gregoire  Defrel,Forward,3,3,2,5,7,1,1,6,7,6,23149
Luk\u00e1\u0161 Hr\u00e1deck\u00fd,Goalkeeper,12,2,2,0,0,0,0,0,12,0,55951
Martin Braithwaite,Forward,6,9,12,16,11,0,4,12,9,6,55968
Cristian Gamboa Luna,Defender,2,2,3,4,1,0,1,1,7,5,55977
Mathias Jattah-Njie J\u00f8rgensen,Defender,39,74,41,53,3,0,1,5,75,1,55979
Bruno Petkovi\u0107,Forward,8,12,24,22,33,0,3,6,15,3,252589
Bryan Oviedo,Defender,1,2,1,4,1,0,2,1,5,1,55982
Thomas Delaney,Midfielder,32,53,53,100,20,0,14,21,72,12,55990
Nolan Roux,Forward,17,33,39,49,31,0,10,34,28,17,25716
Riza Durmisi,Defender,21,16,6,15,9,1,26,7,27,23,56009
Borja Gonz\u00e1lez Tom\u00e1s,Forward,5,9,18,17,10,0,3,8,9,2,3875
Michael Krohn-Dehli,Midfielder,19,11,3,13,7,9,6,5,20,8,56025
Jens Stryger Larsen,Defender,31,27,17,16,9,1,8,8,53,16,56026
Marcel Schmelzer,Defender,27,26,17,17,7,0,12,2,32,13,14800
Jonas L\u00f6ssl,Goalkeeper,12,0,6,0,1,0,0,0,15,0,56038
Ivan Vargi\u0107,Goalkeeper,0,0,0,0,0,0,0,0,0,0,69417
Sadiq Umar,Forward,1,1,2,10,6,0,0,1,3,2,350992
Digbo G'nampa Habib Ma\u00efga,Midfielder,8,5,5,27,9,0,7,3,25,4,285457
Diego da Silva Farias,Forward,13,8,6,28,27,6,12,18,24,24,23314
Gianluigi Donnarumma,Goalkeeper,15,0,1,0,0,0,0,0,14,1,350999
Patrick Cutrone,Forward,8,5,14,33,19,0,5,18,18,8,351010
Francis Odinaka Uzoho,Goalkeeper,0,0,0,0,0,0,0,0,2,0,285491
Isaac  Ajayi Success,Forward,3,3,3,16,15,0,6,4,7,9,285509
Luca Rizzo,Midfielder,4,4,1,5,9,4,7,4,11,4,23386
Andy Delort,Forward,14,25,48,70,36,10,28,29,23,7,25745
Sadio Man\u00e9,Forward,26,17,21,30,43,2,20,31,21,34,25747
Marco Ezio Fossati,Midfielder,17,14,7,15,5,4,2,5,24,0,23427
Sofyan Amrabat,Midfielder,0,1,0,2,0,0,0,0,0,0,285590
Kouakou Herv\u00e9 Koffi,Goalkeeper,1,0,1,0,0,0,0,0,1,0,408052
Mahmoud Ibrahim Hassan,Midfielder,2,2,2,5,3,0,1,4,6,6,220112
Yussuf Yurary Poulsen,Forward,13,27,44,39,45,0,9,16,27,17,56274
Marcos Javier Acu\u00f1a,Midfielder,1,2,1,1,1,2,2,0,3,0,89073
Landry Nany Dimata,Forward,4,7,13,24,18,0,4,4,10,11,285727
Paulo Bruno Exequiel Dybala,Forward,34,7,4,16,48,36,12,46,23,31,89186
Aron J\u00f3hannsson,Forward,2,3,4,3,4,0,2,4,5,1,56424
Lukas Lerager,Midfielder,38,45,43,74,17,0,10,14,83,12,56441
Marco Sportiello,Goalkeeper,9,0,4,0,0,0,0,0,15,0,23705
Zaydou Youssouf,Midfielder,1,2,1,3,4,0,0,1,3,4,482491
Paolo Pancrazio Farag\u00f2,Midfielder,20,38,27,49,23,1,47,11,67,21,220359
Chadrac Akolo,Forward,7,5,9,13,16,0,7,12,14,11,328131
Ismael Aaneba,Defender,0,0,0,0,0,0,0,0,0,0,449882
Marcus Berg,Forward,2,4,11,22,5,0,1,7,8,1,14908
Jos\u00e9 Paolo Guerrero Gonz\u00e1lez,Forward,1,3,6,3,4,0,1,3,1,1,14909
Benjamin Leroy,Goalkeeper,0,0,0,0,0,0,0,0,0,0,253312
Bakery Jatta,Midfielder,2,2,6,10,6,0,3,1,5,5,449921
Alexis Blin,Midfielder,18,29,19,32,9,0,6,4,46,4,253333
Mehdi Pascal Marcel L\u00e9ris,Forward,0,0,0,0,1,0,0,0,0,0,449978
Amine Gouiri,Forward,0,0,0,1,1,0,0,1,2,0,449985
Claud Adjapong,Defender,10,14,7,24,14,0,14,6,28,18,417231
Charles Mariano Ar\u00e1nguiz Sandoval,Midfielder,44,34,12,42,20,2,5,14,49,8,89559
Francesco Zampano,Defender,3,3,3,13,5,0,5,1,10,4,24024
Alex Meret,Goalkeeper,2,0,1,1,0,0,0,0,6,0,286215
Nicol\u00f2 Barella,Midfielder,38,25,13,85,38,25,24,14,68,34,286223
Gianfilippo Felicioli,Defender,2,1,1,4,3,2,2,0,7,0,286225
Manuel Locatelli,Midfielder,15,4,4,16,4,1,2,5,15,8,286226
Vagner Jos\u00e9 Dias Gon\u00e7alves,Midfielder,1,0,0,1,2,0,2,1,2,0,351851
Thomas Teye Partey,Midfielder,36,20,22,42,20,2,7,9,46,9,217031
Issa Diop,Defender,29,39,23,37,5,0,1,7,43,9,286380
Enock Kwateng,Defender,1,1,0,0,0,0,0,0,3,0,286381
Cl\u00e9ment Michelin,Defender,2,2,4,7,1,0,4,0,8,2,286382
Arnaud Lusamba,Midfielder,2,0,0,4,3,0,0,0,7,1,286388
Ousmane Demb\u00e9l\u00e9,Forward,14,3,2,12,24,16,14,10,13,37,286390
Ole K\u00e4uper,Midfielder,1,0,1,7,1,0,0,0,5,0,286404
Massimo Coda,Forward,8,7,22,17,19,0,4,22,9,10,24269
Mauro Wilney Arambarri Rosa,Midfielder,15,21,13,52,15,0,3,10,48,5,286448
Fahad Mosaed Al Muwallad Al Harbi,Forward,1,0,1,5,3,0,1,0,2,0,122623
Matthieu Udol,Defender,3,5,2,9,2,0,5,0,10,5,286506
Daler Kuzyaev,Midfielder,2,4,1,5,2,0,0,1,7,1,220971
Baptiste Guillaume,Forward,2,2,13,18,6,0,1,3,6,4,253784
Hakim Ziyech,Midfielder,3,0,0,8,4,4,1,4,6,3,221039
Timo Letschert,Defender,5,5,4,5,2,0,0,0,12,3,221047
Ji\u0159\u00ed Pavlenka,Goalkeeper,10,0,3,0,0,0,0,0,14,0,253822
Salem Mohammed Al Dawsari,Midfielder,5,1,1,5,7,0,1,3,4,15,122832
Alexander Hack,Defender,15,20,23,11,3,0,1,5,27,5,221172
R\u00fanar M\u00e1r Sigurj\u00f3nsson,Midfielder,0,0,0,0,0,0,0,0,0,0,57333
Patrick Herrmann,Midfielder,8,7,10,23,9,0,16,8,23,9,15018
Sverrir Ingi Ingason,Defender,2,2,5,3,0,0,0,2,4,0,57347
Gabriel Boschilia,Midfielder,1,2,0,1,2,0,1,2,2,2,255320
Marco Asensio Willemsen,Midfielder,31,9,2,9,23,26,33,25,16,60,288091
Ermedin Demirovi\u0107,Forward,1,1,3,5,3,0,0,2,3,0,352328
Arn\u00f3r Ingvi Traustason,Midfielder,0,0,1,0,1,0,0,1,0,1,57480
Giacomo Poluzzi,Goalkeeper,0,0,0,0,0,0,0,0,0,0,24725
Erick Antonio Pulgar Farf\u00e1n,Midfielder,44,27,13,48,11,12,5,13,55,8,90268
Ville Matti Steinmann,Midfielder,10,12,10,14,4,1,0,1,14,3,221376
Felix Eboa Eboa,Defender,16,29,22,17,3,0,5,4,29,6,286915
Fod\u00e9  Ballo Tour\u00e9,Defender,26,11,13,29,14,0,19,1,43,8,286917
\u00d3scar Melendo Jim\u00e9nez,Midfielder,7,3,3,5,7,1,2,3,7,8,450784
Philipp Max,Defender,26,19,14,30,8,58,60,9,50,13,221411
Iv\u00e1n L\u00f3pez \u00c1lvarez,Forward,14,15,9,40,31,16,26,16,47,17,254189
Mikel Vesga Arruti,Midfielder,9,9,9,17,7,2,1,3,16,4,286963
Santiago Lionel Ascac\u00edbar,Midfielder,28,43,15,38,15,0,3,4,53,7,413737
Charles  D\u00edas Barbosa de Oliveira,Forward,8,21,35,42,11,0,5,17,9,5,385273
Iv\u00e1n Villar Mart\u00ednez,Goalkeeper,0,0,0,0,0,0,0,0,0,0,286974
Antonio Sivera Salv\u00e1,Goalkeeper,0,0,0,0,0,0,0,0,0,0,286981
Gaetano Letizia,Defender,25,21,11,30,25,1,38,10,43,57,24838
Vincenzo Grifo,Midfielder,10,5,2,2,9,7,6,6,8,4,221452
Adri\u00e1n Mar\u00edn G\u00f3mez,Defender,2,2,1,7,1,0,0,0,6,2,286994
Moussa Diaby,Forward,0,0,0,2,2,1,1,0,2,2,419204
Benito Ram\u00edrez del Toro,Midfielder,1,1,1,3,2,2,5,0,4,1,287003
Manuel Pucciarelli,Forward,9,10,9,14,14,0,5,11,11,7,24964
\u015etefan Daniel Radu,Defender,42,35,14,27,11,0,7,4,42,36,20550
\u00c1ngel Mart\u00edn Correa,Forward,22,10,12,48,53,2,21,20,36,38,254408
Iv\u00e1n Rodr\u00edguez del Pozo,Defender,0,0,0,1,0,0,0,0,1,0,352748
Ergys Ka\u00e7e,Midfielder,0,0,0,1,0,0,0,0,1,0,93608
Du\u0161an Basta,Defender,8,8,4,5,3,0,12,4,11,5,20575
Jean-Claude Billong,Defender,4,2,1,2,1,0,0,0,8,2,385655
Gauthier Banaziak,Goalkeeper,0,0,0,0,0,0,0,0,0,0,352898
Takuma Asano,Forward,4,3,9,10,12,0,5,8,7,7,254649
Kelvin Amian Adou,Defender,23,27,17,28,14,0,19,7,58,11,352986
Dayotchanculle Upamecano,Defender,35,42,35,36,10,0,0,4,46,8,352988
Jean-Victor Makengo,Midfielder,3,0,2,5,7,0,2,1,5,4,352992
Yann Karamoh,Forward,6,2,2,4,13,2,11,9,5,7,352993
Rafael Alexandre Fernandes Ferreira da Silva,Midfielder,0,0,0,0,0,0,0,0,0,1,222676
John Stiven Mendoza Valencia,Forward,8,4,5,8,16,10,6,11,14,12,90880
Anthony Mandrea,Goalkeeper,0,0,0,0,0,0,0,0,0,0,287521
Hugo Lloris,Goalkeeper,17,1,3,1,0,0,0,0,15,0,25381
Anthony Lopes,Goalkeeper,12,2,3,1,0,0,0,0,16,0,25382
R\u00e9my Vercoutre,Goalkeeper,6,1,3,0,0,0,0,0,13,0,25384
Bakary Kon\u00e9,Defender,25,30,20,24,3,0,0,4,32,1,25392
Dejan Lovren,Defender,53,63,49,21,3,0,2,7,36,2,25393
Samuel Yves Umtiti,Defender,53,32,24,34,8,0,0,4,45,7,25397
Mehdi Zeffane,Defender,12,8,5,7,3,0,9,6,19,6,25399
Jordan Ferri,Midfielder,14,7,3,17,6,0,3,3,17,12,25403
Maxime Gonalons,Midfielder,20,12,16,15,8,0,2,6,22,9,25405
Yoann  Gourcuff,Midfielder,5,2,2,3,5,2,2,3,4,2,25406
Cl\u00e9ment Grenier,Midfielder,17,10,8,22,12,26,11,11,18,6,25407
Kim K\u00e4llstr\u00f6m,Midfielder,4,2,2,3,1,5,3,0,3,0,25408
Alassane Pl\u00e9a,Forward,27,7,19,35,47,0,11,44,25,28,25410
Jimmy Briand,Forward,24,15,40,46,42,0,8,29,32,23,25411
Alphonse Ar\u00e9ola,Goalkeeper,11,1,2,0,0,0,0,0,13,0,25418
Salvatore Sirigu,Goalkeeper,12,1,4,0,0,0,0,0,19,0,25421
Milan Bi\u0161evac,Defender,8,8,4,3,1,0,1,2,8,3,25423
Christophe Jallet,Defender,18,16,9,12,5,0,9,2,19,9,25427
Lo\u00efck Landre,Defender,0,0,0,0,0,0,0,0,0,0,25428
M\u00edchel Macedo Rocha Machado,Defender,24,14,15,40,12,0,24,3,37,10,4238
Mathieu Bodmer,Defender,7,7,6,10,1,0,1,3,4,0,25433
Blaise Matuidi,Midfielder,49,25,26,70,27,0,18,14,71,12,25437
Thiago Motta,Midfielder,38,11,13,33,5,0,0,2,26,0,25439
Javier Mat\u00edas Pastore,Midfielder,27,7,3,14,16,4,8,10,21,11,25440
Kalifa Coulibaly,Forward,2,3,10,8,7,0,2,3,3,2,25444
Kevin Gameiro,Forward,6,5,9,10,12,0,4,8,12,13,25445
S\u00e9bastien Corchia,Defender,7,7,6,20,6,0,9,2,18,3,25452
Franco Armani,Goalkeeper,1,0,0,0,0,0,0,0,0,0,90991
J\u00e9r\u00f4me Roussillon,Defender,18,19,6,10,23,6,30,8,30,16,25457
Ryad Boudebouz,Midfielder,21,11,8,22,20,11,9,7,23,21,25461
Breel-Donald Embolo,Forward,7,6,19,54,34,1,4,10,24,10,282772
Vincent Nogueira,Midfielder,1,0,0,0,1,0,0,0,0,0,25467
Sanjin Prci\u0107,Midfielder,24,10,5,14,4,0,3,7,29,8,25470
Abdoul Razzagui Camara,Midfielder,7,5,5,5,17,4,11,8,8,12,25474
Juan Fernando Quintero Paniagua,Midfielder,5,1,0,1,2,3,1,4,2,5,91019
Thomas Monconduit,Midfielder,35,36,18,65,26,0,4,12,67,6,25492
Georges Constant Mandjeck,Midfielder,10,19,13,34,5,0,1,4,22,5,25503
Soualiho Me\u00eft\u00e9,Midfielder,19,13,12,22,23,0,3,4,29,12,25504
S\u00e9bastien Haller,Forward,14,24,65,55,44,0,3,15,20,5,25512
Paul-Georges Ntep de Madiba,Midfielder,6,3,6,11,12,0,9,5,10,9,25514
Yaya Sanogo,Forward,5,15,39,46,27,0,4,21,10,1,25517
Maxime Dup\u00e9,Goalkeeper,0,0,0,0,0,0,0,0,0,0,25519
Erwin Zelazny,Goalkeeper,5,0,2,0,0,0,0,0,8,0,25521
L\u00e9vy Koffi Djidji,Defender,20,25,14,26,8,0,7,4,52,10,25523
Jonathan Martins-Pereira,Defender,14,8,6,16,6,0,11,3,25,4,25526
Daniel Alejandro Torres Rojas,Midfielder,13,15,6,22,5,0,1,1,26,3,91064
Vincent Bessat,Midfielder,17,15,7,16,11,6,33,7,36,12,25532
Issa Cissokho,Defender,15,17,9,16,7,0,11,1,32,13,25534
Jordan Veretout,Midfielder,52,24,18,47,22,38,18,26,61,32,25541
Steve Mandanda,Goalkeeper,9,0,2,1,0,0,0,0,13,0,25552
C\u00e9sar Azpilicueta Tanco,Defender,69,66,29,24,5,0,31,5,70,9,25553
J\u00e9r\u00e9my Morel,Defender,51,28,22,29,4,0,0,0,31,3,25557
Nicolas N'Koulou,Defender,42,32,33,46,9,0,0,6,50,5,25558
Morgan Amalfitano,Midfielder,6,3,3,8,9,0,6,4,4,3,25562
Lo\u00efc R\u00e9my,Forward,9,10,10,20,20,0,5,18,7,5,25577
Jaroslav Pla\u0161il,Midfielder,19,18,6,18,7,2,4,4,28,12,25596
Gr\u00e9gory Sertic,Midfielder,5,5,3,10,0,0,0,3,6,0,25598
Cheick Tidiane Diabat\u00e9,Forward,2,5,15,16,8,0,0,7,3,1,25601
Henri Saivet,Midfielder,0,3,1,0,0,1,0,0,3,1,25604
Emiliano Sala,Forward,18,29,76,53,47,0,5,35,26,10,25605
Perparim Hetemaj,Midfielder,28,15,11,63,32,0,30,12,64,18,20653
Chaouki Ben Saada,Midfielder,4,3,1,11,6,3,2,4,6,10,25616
Miguel \u00c1ngel Borja Hern\u00e1ndez,Forward,0,0,1,0,0,0,0,0,0,0,91156
Thorgan Hazard,Forward,31,26,23,27,49,44,26,36,41,56,25622
Geoffrey Kondogbia,Midfielder,42,16,21,55,33,0,2,11,61,24,25623
Ludovic Baal,Defender,17,12,9,13,10,0,8,0,28,9,25625
Stefan Posch,Defender,12,11,6,11,2,0,2,1,22,6,282799
Beno\u00eet Costil,Goalkeeper,11,0,2,0,0,0,0,0,16,0,25632
Abdoulaye Diallo,Goalkeeper,1,0,0,0,0,0,0,0,1,0,25633
Romain Danz\u00e9,Defender,9,8,5,7,1,0,7,0,11,2,25637
Dimitri Foulquier,Defender,13,12,4,21,12,0,11,1,28,16,25638
Abdou Kader Mangane,Defender,16,25,19,27,3,0,1,6,26,3,25641
K\u00e9vin Th\u00e9ophile Catherine,Defender,28,19,17,26,7,0,1,2,41,3,25643
Julien F\u00e9ret,Midfielder,38,41,33,23,22,36,13,11,37,22,25647
Yann M'Vila,Midfielder,34,12,8,10,4,0,2,2,17,1,25649
Vincent Pajot,Midfielder,12,18,28,36,6,0,2,8,20,2,25650
Sergio Pellissier,Forward,2,3,8,7,5,0,2,4,4,4,20662
St\u00e9phane Bahoken,Forward,6,5,20,48,20,0,16,17,18,10,25673
Mathieu Debuchy,Defender,14,28,20,21,6,0,20,7,23,7,25700
Lucas Digne,Defender,12,8,3,10,5,0,7,1,14,5,25701
Florent Balmont,Midfielder,13,5,1,10,7,2,6,2,13,4,25704
Bakary Adama Soumaoro,Defender,15,10,7,8,5,0,0,0,10,1,25710
Dimitri  Payet,Midfielder,44,8,5,18,38,75,46,32,22,45,25714
Ronny Rodelin,Forward,29,41,55,25,35,0,30,45,28,25,25715
Axel Werner,Goalkeeper,0,0,0,0,0,0,0,0,0,0,222324
Kalidou Koulibaly,Defender,81,43,29,42,7,0,1,7,47,9,25726
Yeni Atito N'Gbakoto,Forward,4,4,4,10,6,3,6,6,7,0,25741
Bouna Sarr,Midfielder,28,8,15,40,22,5,27,7,46,35,25743
Benjamin Mendy,Defender,5,5,2,7,3,0,17,3,7,7,26136
Jonathan Rivierez,Defender,18,17,10,37,10,0,10,4,55,10,26138
Andrea Raggi,Defender,15,13,6,11,4,0,8,2,28,4,20677
Yannick Cahuzac,Midfielder,12,26,14,25,6,0,1,1,30,2,25764
Florian Thauvin,Forward,42,8,10,29,69,36,48,52,29,47,25770
Wahbi Khazri,Midfielder,18,7,11,40,38,23,11,29,25,34,25776
Yohann Pel\u00e9,Goalkeeper,2,0,1,0,0,0,0,0,3,0,25781
Aymen Abdennour,Defender,9,5,5,9,1,0,0,1,8,0,25784
Daniel Congr\u00e9,Defender,31,36,26,24,5,0,6,4,50,2,25786
Cheikh M'Bengue,Defender,4,6,3,11,0,0,1,0,9,0,25789
Steeve Yago,Defender,13,14,6,47,9,0,6,0,43,11,25791
Wissam Ben Yedder,Forward,11,10,17,16,22,0,7,20,12,7,25795
\u00c9tienne Didot,Midfielder,24,28,9,27,8,5,8,6,33,3,25800
Franck Tabanou,Midfielder,10,11,8,17,6,0,16,1,22,5,25805
Emmanuel Rivi\u00e8re,Forward,13,18,58,41,27,0,2,27,20,11,25809
Benjamin Andr\u00e9,Midfielder,44,47,78,76,31,0,9,13,68,6,25826
Paul Lasne,Midfielder,44,32,24,61,27,1,19,20,54,22,25829
Fr\u00e9d\u00e9ric Sammaritano,Midfielder,15,8,7,11,17,3,14,13,24,14,25835
Yoann Andreu,Defender,22,24,11,20,12,0,21,2,37,4,25846
Kylian Mbapp\u00e9 Lottin,Forward,22,3,6,9,54,4,30,36,15,42,353833
Faouzi Ghoulam,Defender,21,12,8,10,5,16,18,4,8,10,25849
Isma\u00ebl Ti\u00e9moko Diomand\u00e9,Midfielder,7,5,3,9,1,0,1,1,9,6,25859
Max-Alain Gradel,Forward,18,12,13,40,63,36,56,29,48,44,25860
Josuha Guilavogui,Midfielder,34,36,21,47,17,0,6,10,43,5,25861
Lo\u00efc Perrin,Defender,38,35,26,17,4,0,1,5,33,3,25864
Yoric Ravet,Midfielder,3,7,6,10,6,10,9,7,7,4,25871
Thomas Heurtaux,Defender,14,15,9,12,1,0,0,0,14,0,25878
J\u00e9r\u00e9my Sorbon,Defender,27,33,14,17,5,0,0,2,39,1,25883
Fay\u00e7al Fajr,Midfielder,21,25,13,53,14,28,24,9,45,8,25888
Romain Hamouma,Forward,13,7,13,11,20,26,18,18,21,16,25889
Benjamin Nivet,Midfielder,18,6,10,23,12,7,5,7,27,5,25891
M'Baye Babacar Niang,Forward,13,5,24,45,44,8,14,24,25,30,25898
Denis Petri\u0107,Goalkeeper,0,0,0,0,0,0,0,0,0,0,25904
Julian Palmieri,Defender,11,12,5,24,6,0,12,1,24,2,25919
Nicolas de Roussel de Pr\u00e9ville,Forward,17,17,25,65,43,12,17,28,34,36,25923
Mamadou Samassa,Goalkeeper,4,0,2,0,0,0,0,0,12,0,25930
Fran\u00e7ois Bellugou,Defender,24,28,25,34,9,0,2,0,39,1,25937
Charly Charrier,Midfielder,2,0,0,1,2,0,1,1,1,0,25938
Moustapha Elhadji Diallo,Midfielder,13,21,37,49,6,0,1,15,28,3,25939
Thibault Giresse,Midfielder,0,0,0,0,0,1,0,0,0,0,25941
Gilbert Gianelli Imbula Wanga,Midfielder,32,9,8,22,37,15,4,15,27,41,25942
